Company,Price,change,Percent Change,Market Cap
"Jack Henry & Associates, Inc.",149.45,+0.59,+0.40%,11.498B
StoneCo Ltd.,41.39,+7.04,+20.49%,11.48B
"EPAM Systems, Inc.",205.15,-0.36,-0.18%,11.28B
"Tyler Technologies, Inc.",287.11,+0.21,+0.07%,11.269B
PagSeguro Digital Ltd.,32.77,+1.76,+5.68%,10.776B
"Teradyne, Inc.",61.96,+0.18,+0.29%,10.383B
Fair Isaac Corporation,355.69,+0.33,+0.09%,10.301B
"Guidewire Software, Inc.",119.42,+0.84,+0.71%,9.861B
Trimble Inc.,39.37,+0.03,+0.08%,9.808B
NICE Ltd.,148.49,+0.83,+0.56%,9.206B
Coupa Software Incorporated,148.62,-0.47,-0.32%,9.34B
Amdocs Limited,68.45,+0.10,+0.15%,9.302B
DXC Technology Company,35.84,+0.23,+0.65%,9.175B
"Black Knight, Inc.",61.29,+0.03,+0.05%,9.167B
Universal Display Corporation,192.90,-4.75,-2.40%,9.088B
"Zendesk, Inc.",78.90,+0.09,+0.11%,8.851B
"F5 Networks, Inc.",142.84,+0.24,+0.17%,8.684B
Cypress Semiconductor Corporation,23.41,+0.04,+0.17%,8.676B
PTC Inc.,75.14,+0.06,+0.08%,8.655B
ON Semiconductor Corporation,20.81,+0.04,+0.19%,8.547B
WEX Inc.,197.00,+0.39,+0.20%,8.528B
"Juniper Networks, Inc.",25.46,+0.14,+0.55%,8.522B
Cognex Corporation,49.58,-0.57,-1.14%,8.473B
Xerox Holdings Corporation,39.06,+0.37,+0.96%,8.444B
Ceridian HCM Holding Inc.,58.37,+0.80,+1.39%,8.404B
"Euronet Worldwide, Inc.",154.59,+0.24,+0.16%,8.352B
"Aspen Technology, Inc.",119.78,-0.51,-0.42%,8.17B
Sensata Technologies Holding plc,51.16,+0.17,+0.33%,8.127B
"Zayo Group Holdings, Inc.",34.30,-0.01,-0.03%,8.123B
"Dropbox, Inc.",18.98,+0.46,+2.48%,7.883B
Genpact Limited,39.72,-0.68,-1.68%,7.545B
IPG Photonics Corporation,139.42,+0.89,+0.64%,7.399B
